id,zh_CN,en,es,fr,de
## TIMELINE EDITOR ---------------------------------------------,,,,,
# EVENT NAMES ---------------------------------------------,,,,,
Text Event,文本事件,Text Event,Texto,Texte,Text Ereignis
Character Join,角色加入,Character Join,Personaje Entra,,Charakter beitreten
Character Leave,角色离开,Character Leave,Personaje Sale,,Charakter verlassen
Question,问题,Question,Pregunta,,Frage
Choice,选择,Choice,Opcion,,Option
Condition,条件,Condition,Condicion,,Bedingung
End Branch,结束分支,End Branch,Cerrar rama,,Zweig beenden
Set Value,设定值,Set Value,Actualizar Valor,,Wert ändern
Set Glossary,设置术语,Set Glossary,Actualizar Glosario,,Glossar ändern
Change Timeline,改变时间线,Change Timeline,Cambiar Secuencia,,Zeitlinie wechseln
Set Background,设置背景,Set Background,Cambiar Fondo,,Hintergrund wechseln
Close Dialog,关闭对话框,Close Dialog,Cerrar Dialogo,,Dialog beenden
Wait Seconds,等待秒数,Wait Seconds,Esperar Segundos,,Warten
Set Theme,设置主题,Set Theme,Cambiar Tema,,Theme wechseln
Audio Event,音频事件,Audio Event,Evento de Audio,,Audio Ereignis
Background Music,背景音乐,Background Music,Evento de Musica,,Hintergrundmusik
Emit Signal,发出信号,Emit Signal,Emitir Señal,,Signal senden
Change Scene,改变场景,Change Scene,Cambiar Escena,Changer la scène,Szene wechseln
Call Node,呼叫节点,Call Node,Llamar Nodo,,
Save,保存,Save,Guardar,Enregistrer,Speichern
# EVENT CATEGORIES ---------------------------------------------,,,,,
Main Events,主要事件,Main Events,Eventos principales,,Haupt Ereignisse
Logic,逻辑,Logic,Lógica,Logique,Logik
Timeline,时间线,Timeline,Secuencia,Chronologie,Zeitlinie
Audio,音频,Audio,Audio,Audio,Audio
Godot,Godot,Godot,Godot,Godot,Godot
Custom Events,自定义事件,Custom Events,Eventos personalizados,Événements personnalisés,Benutzerdefinierte Ereignisse
# EVENTS ---------------------------------------------,,,,,
The selected operator requires a number!,所选的操作需要一个数字!,The selected operator requires a number!,El operador seleccionado requiere un número,,Der ausgewählte Operator muss eine Zahl sein
This event needs a question event around it!,这个事件需要一个围绕它的问题事件!,This event needs a question event around it!,Este evento necesita estar dentro de una pregunta,,Dieses Ereignis muss Teil einer Frage sein
## SETTINGS ---------------------------------------------,,,,,
Settings,设置,Settings,,,Einstellungen
Theme,主题,Theme,,,Theme
Default,默认,Default Theme:,Predeterminado,défaut,Standart Theme:
Canvas layer:,帆布层:,Canvas layer:,Canvas layer:,,Canvas Layer:
